referenceCardId,year,name,team,variant,snapshot,sourceUrl,hasCostConflict,yearSplit,playerType,reference,before,after
PM_aa701406e2dde731f371,1994,안병원,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,7,8,8
PM_79b3a0eddc5641f592f4,1994,염경엽,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,6,6,6
PM_90234b4bfc748832e1fa,1994,윤덕규,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,8,8,8
PM_215cc9be8ad11b99cd4b,1994,이희성,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,6,5,5
PM_26c90d233557b87d7253,1994,정명원,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,9,8,8
PM_8875e25f278fb8671653,1994,정민태,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,7,8,8
PM_47a27ceedce4b995e47d,1994,조웅천,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,4,2,2
PM_7a67a928c826e84d31c5,1994,최상덕,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,8,8,8
PM_8f935e47d6082e2f3961,1994,최창호,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,7,8,8
PM_3ac48ce04022ffa574e8,1995,강길용,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,5,5
PM_d7dc1b7138a2df566347,1995,강병규,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,6,6
PM_0288737d076f38cb4885,1995,권명철,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,9,9,9
PM_680f6f43e75349ee781c,1995,김경원,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,6,6
PM_0f7504695afc9099c1e8,1995,김민호,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,8,8
PM_8a7dd508e9ea1f929002,1995,김상진,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,10,10,10
PM_cf4b3a48865cf4140c02,1995,김상호,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,9,10,10
PM_8f9638f938b1abdbb246,1995,김종석,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_131bf1fb3b0adeabf36d,1995,김형석,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_0b075cf357ac71effb17,1995,박철순,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,6,6
PM_e1dc73020e62f4841048,1995,송재용,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,4,4
PM_0aebffe057920a0c0dbb,1995,심정수,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,8,8,8
PM_f3767f1d8fd660bb5ab1,1995,안경현,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,6,6
PM_540d640c356b767cde87,1995,이광우,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,4,1,1
PM_06bb7c606c4279364861,1995,이도형,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_154ae7bbe00777d7296e,1995,이명수,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_79a3f46c893ee0b0aa51,1995,이용호,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,7,8,8
PM_831ddae98287335a05a0,1995,장원진,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_17a82adfa1a7860bad20,1995,장호연,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,5,5
PM_e9332cae2cf7a93ba2a6,1995,진필중,OB,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,8,8
PM_dc32d670b1149fe4551b,1996,김광림,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,8,8,8
PM_e9db07c04e6ef38033ab,1996,김기덕,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,6,8,8
PM_9e7031b1f64cf8d786af,1996,김기태,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,7,8,8
PM_c2613080564ccad02896,1996,김민국,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,5,5,5
PM_b3ff6ca7541c0ae7089f,1996,김실,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,7,8,8
PM_596035937daadf89af84,1996,김원형,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,6,7,7
PM_46857111bf18ee4a4a40,1996,김현욱,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,6,8,8
PM_29ae6c9dfcbc78bf63db,1996,김호,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,6,6,6
PM_939ef45dcc36f3bef38c,1996,박경완,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,7,8,8
PM_dfbdb8e36223a1ae074d,1996,박노준,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,6,6,6
PM_2c78ee70e5076aa1aff2,1996,박성기,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,6,6,6
PM_5630cba23f15528af125,1996,박주언,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,5,5,5
PM_bbe7aa4228f105baf003,1996,석수철,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,6,6,6
PM_1f2700b5db7ca2519b03,1996,성영재,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,8,9,9
PM_304c3f6b0200ead2fcf0,1996,심성보,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,7,7,7
PM_d45dbf8b0e68582bad41,1996,오봉옥,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,7,8,8
PM_64f2e583c83ac9996160,1996,유현승,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,4,5,5
PM_2a36bd18200d3438b06b,1996,조규제,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,8,6,6
PM_d3b5bee5e26a49efd0a8,1996,조원우,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,6,6,6
PM_b7bb942a31caf0649b78,1996,최정환,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Pitcher,6,6,6
PM_b1b82ad81aa8ca7aa1ff,1996,최태원,쌍방울,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Validation,Hitter,6,7,7
PM_7f47d488cb746520569c,1997,곽채진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,6,6
PM_8545f47bd02b0b2017fa,1997,김상엽,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,8,8,8
PM_e60ebcf390a9ef53a693,1997,김영진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,5,3,3
PM_5f8e28ee827a5c7f2db5,1997,김태균,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_32705dbcf54f338f32af,1997,김태한,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,8,8,8
PM_4ca6b81dc6403233ee95,1997,김한수,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,8,8,8
PM_5010eb45bb7e5ea9a05d,1997,류중일,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,5,5
PM_be1489555f7d190888ed,1997,박충식,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,8,8,8
PM_945f0858c84c48a86a30,1997,성준,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,7,7
PM_e21fa5211d834a649df1,1997,신동주,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,9,10,10
PM_f62b22d720e0125829cc,1997,양준혁,삼성,EX,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,10,10,10
PM_118cbc65675e24a5a1a4,1997,이상훈,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,4,4
PM_8c19f7bbfe3a8c78cbc7,1997,이승엽,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,9,10,10
PM_c701c29a42cec8d549a0,1997,전병호,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,7,6,6
PM_f6c26e17955585792142,1997,정경배,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,8,8,8
PM_3774ee5b388dab8c935c,1997,정성훈,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,5,5
PM_58d12955482f4e622be0,1997,최익성,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,9,10,10
PM_d7bbe05dae0b876d5a95,1997,최창양,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,5,5
PM_1f661ce435ae46d99c70,1997,최한림,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,4,2,2
PM_32685acb9ba48dd2e546,1997,강태원,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,6,6
PM_96ef40072c0ed5ddc1ec,1997,김봉영,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,4,3,3
PM_98345cf5b833171fa34a,1997,김상진,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,7,8,8
PM_193bbdc9b2e0c0d73c21,1997,김정수,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,6,6
PM_741f51e5e0d8d57094f7,1997,김종국,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,6,6
PM_c1542fb81007438d4015,1997,김창희,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,7,7
PM_77b37927ce31ba3bfc1d,1997,오철민,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,4,2,2
PM_0c54a90b064a9113b39f,1997,이강철,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,9,9,9
PM_7aba69c88fa94f7f8598,1997,이대진,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,10,9,9
PM_cdd5fdbcd1db065e5c44,1997,이순철,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,5,5
PM_595299a45ea2b552d2a3,1997,이원식,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,6,6
PM_d5a99b271710851a4b72,1997,이재만,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,4,3,3
PM_f021b933c10029c24d9c,1997,이종범,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,10,10,10
PM_6bd7dedc4dcc7e9c879c,1997,임창용,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,8,8,8
PM_ec3fe5ae8c73c17c7124,1997,장성호,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,6,6
PM_016f10d117c002ff5c77,1997,조계현,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,8,8
PM_d61e1543c860aabcda40,1997,최해식,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,6,5,5
PM_a77ccd2ed2117d2b6168,1997,최훈재,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,8,8,8
PM_24f02d66901f03f36758,1997,홍현우,해태,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,8,8,8
PM_8c699f53994910585100,1998,김경기,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,7,8,8
PM_d7bf8e866becc24ce4bd,1998,김광림,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,6,5,5
PM_294b02aa3ce84d423e11,1998,김수경,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,9,8,8
PM_a00da82abd06c6df8867,1998,김익재,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,4,1,1
PM_0ee975fe4248ddc1801f,1998,김홍집,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,4,2,2
PM_6603435dae0f4504f980,1998,박경완,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,6,8,8
PM_86a6b2eb718b2cc2a59c,1998,박재홍,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,9,8,8
PM_e66b058a5684232ee816,1998,박진만,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,5,5,5
PM_3b74645842117dd2dd78,1998,스트롱,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,8,6,6
PM_f9baa1f55e9970df870a,1998,위재영,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,7,8,8
PM_a04cace78e85325fe30f,1998,이명수,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,7,8,8
PM_1be5bbef27136ab4da83,1998,이숭용,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,7,8,8
PM_ede2ad0a07fd707c00be,1998,전준호,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,9,8,8
PM_bf1675db21156374d642,1998,정명원,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,10,10,10
PM_e09aa8b794f4bd4278df,1998,정민태,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,10,10,10
PM_96ffb518d0b48f01fed1,1998,조규제,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,5,5,5
PM_9c69a49987dbfcdf1076,1998,조웅천,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,5,5,5
PM_34ce4da7281437c64e59,1998,최원호,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Pitcher,8,8,8
PM_1e03bf07ddb88754786c,1998,쿨바,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Holdout,Hitter,9,10,10
PM_1853e4fdbd3ec9c84686,1999,김기태,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,7,8,8
PM_5fba6cb31bda1e8d1c26,1999,김상진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,7,8,8
PM_6bad3bbf80375afee2e8,1999,김영진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,4,3,3
PM_ff785303e0241bd4b154,1999,김진웅,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,7,8,8
PM_0c4455cc1c2cada9ec6a,1999,김태균,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,6,6,6
PM_482253415df074a97c4a,1999,김한수,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,8,8,8
PM_6170168da7d04846be7d,1999,김현욱,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,5,7,7
PM_c1ef49eb0cbb958e4887,1999,노장진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,8,8,8
PM_816907816ae1d73173de,1999,박동희,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,3,1,1
PM_fef73dfe6bb5afd2bf04,1999,스미스,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,8,8,8
PM_dd835426f01fe62ae803,1999,신동주,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,8,8,8
PM_d090612cae21e191cb5f,1999,이승엽,삼성,EX,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,10,10,10
PM_93ef1dd11e3bf83e88fc,1999,임창용,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,9,10,10
PM_0f0e350b0c9843b04424,1999,전병호,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,5,5,5
PM_f667112736379c6e223b,1999,정경배,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,8,8,8
PM_3f1e4bf8bb9aa1aaaee5,1999,정현욱,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,5,6,6
PM_f35dcceb34ff5170ebaa,1999,홀,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,5,6,6
PM_a43baa8e18100731b6a6,2000,김기태,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,7,8,8
PM_6ef40dceca22723fd274,2000,김상진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,5,7,7
PM_7d4aa748ef1eedbc8475,2000,김진웅,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,6,8,8
PM_67a575e0c01c0fac5434,2000,김태균,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,5,6,6
PM_d783f4c26759422e24ee,2000,김태한,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,4,3,3
PM_8157fd224b72894be6fc,2000,김한수,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,5,7,7
PM_9aa75036abe1dfcddefa,2000,김현욱,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,5,8,8
PM_3f8ce4c2d9a17dc690fd,2000,노장진,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,5,7,7
PM_98d35005b7a4c58693d6,2000,박동희,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,4,4,4
PM_aefaee02442ab0937690,2000,신동주,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,6,6,6
PM_46ac647f94b99474e661,2000,이승엽,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,8,10,10
PM_5be29aa5a94bd96dc5a0,2000,이용훈,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,4,6,6
PM_16b47419f532120b1e28,2000,임창용,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,8,8,8
PM_f8261274f866d230b32e,2000,정경배,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,5,8,8
PM_2cb0f83e0fc6ae165aa3,2000,진갑용,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,6,6,6
PM_1d4ba855498dc51f554f,2000,최창양,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Pitcher,3,4,4
PM_faa341792ce4c433c986,2000,프랑코,삼성,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86951,False,Train,Hitter,8,8,8
PM_163a099579002e359bd1,2000,김민범,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,3,1,1
PM_1730ebd27b25707aac04,2000,김수경,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,8,8,8
PM_17a4eb4fb373a3b9a6f2,2000,마일영,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,6,6
PM_7370e63220bc790e4ca5,2000,박경완,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,9,8,8
PM_5571defb3c4b4bc2c3e5,2000,박장희,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,6,8,8
PM_45f0b843f1c9fc387acf,2000,박재홍,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,10,10,10
PM_da0b742ec378785ba681,2000,박종호,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_6e8b24f3fd494aeb6bca,2000,박진만,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,5,8,8
PM_99a754cdc35952d92749,2000,신철인,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,5,5,5
PM_808bfc6fc3d12c5c7795,2000,심재학,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,7,8,8
PM_bc9001f43a178b04334e,2000,위재영,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Pitcher,7,8,8
PM_ed747109b0ba26738554,2000,이명수,현대,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86966,False,Train,Hitter,4,6,6
