workbookRow,year,team,name,variant,snapshot,sourceUrl,reference,before,after,joinStatus
34,1994,LG,노찬엽,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
35,2007,LG,박용택,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,8,8,ExactYearTeamName
36,2007,LG,박명환,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,9,8,ExactYearTeamName
37,2008,넥센(기사 표기),장원삼,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,,,Unresolved_NoForcedAlias
38,2008,넥센(기사 표기),마일영,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,,,Unresolved_NoForcedAlias
39,2008,넥센(기사 표기),다카쓰,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,,,Unresolved_NoForcedAlias
40,2008,넥센(기사 표기),송지만,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,,,Unresolved_NoForcedAlias
41,2008,넥센(기사 표기),이택근,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,,,Unresolved_NoForcedAlias
42,2009,KIA,로페즈,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,10,10,10,ExactYearTeamName
43,2009,KIA,구톰슨,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,9,9,ExactYearTeamName
44,2009,KIA,김원섭,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,8,8,ExactYearTeamName
45,2009,KIA,윤석민,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
46,2009,KIA,양현종,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,9,8,ExactYearTeamName
47,2009,KIA,김상현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
48,2003,KIA,김진우,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,9,8,ExactYearTeamName
49,2003,KIA,이종범,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,10,10,ExactYearTeamName
50,2003,KIA,장성호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,10,10,ExactYearTeamName
51,2003,KIA,최상덕,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,9,8,ExactYearTeamName
52,2003,KIA,박재홍,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
53,2003,KIA,홍세완,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
54,2008,롯데,손민한,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,10,9,9,ExactYearTeamName
55,2008,롯데,조성환,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,10,9,9,ExactYearTeamName
56,2008,롯데,가르시아,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,9,9,ExactYearTeamName
57,2008,롯데,송승준,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
58,2008,롯데,장원준,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,9,8,ExactYearTeamName
59,2008,롯데,강민호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
60,2010,롯데,이대호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,10,10,10,ExactYearTeamName
61,2010,롯데,조성환,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,8,8,ExactYearTeamName
62,2010,롯데,사도스키,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,9,8,ExactYearTeamName
63,2010,롯데,김주찬,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
64,2010,롯데,홍성흔,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,10,10,ExactYearTeamName
65,2007,한화,류현진,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,10,9,9,ExactYearTeamName
66,2007,한화,정민철,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,9,9,ExactYearTeamName
67,2007,한화,크루즈,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,10,10,ExactYearTeamName
68,2007,한화,김태균,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
69,2007,한화,이범호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
70,1994,태평양,정명원,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,9,10,8,ExactYearTeamName
71,1994,태평양,김홍집,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
72,1994,태평양,최상덕,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,9,8,ExactYearTeamName
73,1994,태평양,윤덕규,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
74,1994,태평양,김경기,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86963&site=bm,8,8,8,ExactYearTeamName
75,2004,삼성,배영수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,9,9,ExactYearTeamName
76,2004,삼성,박한이,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
77,2004,삼성,양준혁,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,10,10,ExactYearTeamName
78,1997,삼성,양준혁,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,10,10,ExactYearTeamName
79,1997,삼성,최익성,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,10,10,ExactYearTeamName
80,1997,삼성,이승엽,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,10,10,ExactYearTeamName
81,1997,삼성,신동주,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,10,10,ExactYearTeamName
82,1997,삼성,박충식,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,9,8,ExactYearTeamName
83,1997,삼성,김상엽,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,9,8,ExactYearTeamName
84,1997,삼성,김태한,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
85,1997,삼성,김한수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
86,1997,삼성,정경배,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
87,2000,현대,임선동,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,9,9,ExactYearTeamName
88,2000,현대,박재홍,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,10,10,ExactYearTeamName
89,2000,현대,정민태,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,9,9,ExactYearTeamName
90,2000,현대,박경완,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,8,8,ExactYearTeamName
91,2000,현대,김수경,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,9,8,ExactYearTeamName
92,2000,현대,퀸란,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
93,1998,현대,정민태,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,10,10,ExactYearTeamName
94,1998,현대,정명원,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,10,10,ExactYearTeamName
95,1998,현대,김수경,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,9,8,ExactYearTeamName
96,1998,현대,전준호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,8,8,ExactYearTeamName
97,1998,현대,박재홍,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,8,8,ExactYearTeamName
98,1998,현대,쿨바,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,10,10,ExactYearTeamName
99,1998,현대,최원호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,9,8,ExactYearTeamName
100,1998,현대,스트롱,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,7,6,ExactYearTeamName
101,1997,해태,이대진,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,9,9,ExactYearTeamName
102,1997,해태,이종범,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,10,10,ExactYearTeamName
103,1997,해태,이강철,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,9,9,ExactYearTeamName
104,1997,해태,임창용,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,10,8,ExactYearTeamName
105,1997,해태,홍현우,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
106,1997,해태,신영수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,,,Unresolved_NoForcedAlias
107,1997,해태,최훈재,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
108,1995,OB,김상진,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,10,10,10,ExactYearTeamName
109,1995,OB,권명철,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,9,9,ExactYearTeamName
110,1995,OB,김상호,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,9,10,10,ExactYearTeamName
111,1995,OB,심정수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
112,1996,쌍방울,성영재,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,9,9,ExactYearTeamName
113,1996,쌍방울,조규제,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,6,ExactYearTeamName
114,1996,쌍방울,김광림,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86966,8,8,8,ExactYearTeamName
115,1995,두산,김상진,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
116,1992,두산,장호연,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
117,2006,두산,리오스,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
118,2011,두산,니퍼트,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
119,2011,두산,김선우,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,9,9,ExactYearTeamName
120,2013,두산,오현택,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,7,ExactYearTeamName
121,2008,두산,이재우,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,8,ExactYearTeamName
122,2012,두산,홍상삼,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,6,ExactYearTeamName
123,1999,두산,이혜천,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,5,8,7,ExactYearTeamName
124,1999,두산,진필중,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,8,ExactYearTeamName
125,2012,두산,프록터,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,6,ExactYearTeamName
126,1986,LG,김건우,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
127,1984,LG,오영일,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
128,1995,LG,이상훈,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
129,1990,LG,김태원,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
130,2013,LG,리즈,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
131,1982,LG,하기룡,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
132,2001,LG,신윤호,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,8,ExactYearTeamName
133,2002,LG,이동현,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,8,ExactYearTeamName
134,2008,LG,이범준,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,4,7,5,ExactYearTeamName
135,1993,LG,김용수,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,8,ExactYearTeamName
136,2013,LG,봉중근,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,7,ExactYearTeamName
137,1985,삼성,김일융,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
138,1985,삼성,김시진,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
139,2004,삼성,배영수,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
140,1982,삼성,이선희,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
141,2010,삼성,장원삼,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,9,8,ExactYearTeamName
142,1990,삼성,김상엽,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,8,ExactYearTeamName
143,2009,삼성,권혁,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,7,ExactYearTeamName
144,2012,삼성,안지만,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,7,ExactYearTeamName
145,1983,삼성,권영호,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,5,9,8,ExactYearTeamName
146,1999,삼성,임창용,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
147,2011,삼성,오승환,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,7,ExactYearTeamName
148,1994,KIA,조계현,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
149,2004,KIA,리오스,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
150,2011,KIA,윤석민,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
151,1996,KIA,이대진,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
152,1984,KIA,이상윤,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,,,Unresolved_NoForcedAlias
153,1997,KIA,임창용,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
154,2000,KIA,오봉옥,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
155,2003,KIA,신용운,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,8,ExactYearTeamName
156,1988,KIA,김정수,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,4,,,Unresolved_NoForcedAlias
157,2008,KIA,한기주,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,6,ExactYearTeamName
158,1993,KIA,선동열,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
159,2010,SK,김광현,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
160,2013,SK,세든,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
161,2007,SK,레이번,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,8,ExactYearTeamName
162,2010,SK,카도쿠라,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,8,ExactYearTeamName
163,2001,SK,이승호,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,9,9,ExactYearTeamName
164,1997,SK,김현욱,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
165,2012,SK,박희수,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,8,ExactYearTeamName
166,2011,SK,정우람,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,8,ExactYearTeamName
167,2013,SK,임경완,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,3,3,2,ExactYearTeamName
168,2006,SK,정대현,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,7,ExactYearTeamName
169,1991,SK,조규제,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
170,1984,롯데,최동원,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
171,2013,롯데,유먼,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
172,2005,롯데,손민한,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
173,1992,롯데,염종석,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
174,2010,롯데,사도스키,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,9,8,ExactYearTeamName
175,2009,롯데,임경완,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,7,ExactYearTeamName
176,2007,롯데,최대성,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,7,6,ExactYearTeamName
177,2008,롯데,강영식,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,7,6,ExactYearTeamName
178,2013,롯데,이명우,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,7,6,ExactYearTeamName
179,2000,롯데,강상수,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,8,ExactYearTeamName
180,1995,롯데,박동희,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,7,ExactYearTeamName
181,1983,넥센,장명부,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
182,2012,넥센,나이트,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
183,1999,넥센,정민태,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
184,1991,넥센,최창호,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
185,2012,넥센,밴헤켄,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,9,8,ExactYearTeamName
186,1995,넥센,정명원,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
187,1999,넥센,조웅천,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,,,Unresolved_NoForcedAlias
188,1992,넥센,박은진,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,,,Unresolved_NoForcedAlias
189,2003,넥센,이상열,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,6,,,Unresolved_NoForcedAlias
190,2012,넥센,손승락,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,7,6,ExactYearTeamName
191,2000,넥센,위재영,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
192,2006,한화,류현진,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,10,ExactYearTeamName
193,2013,한화,바티스타,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,8,8,ExactYearTeamName
194,1999,한화,정민철,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,9,9,ExactYearTeamName
195,1988,한화,한희민,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
196,1991,한화,장정순,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,,,Unresolved_NoForcedAlias
197,1996,한화,구대성,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,10,9,ExactYearTeamName
198,1988,한화,이상군,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
199,2011,한화,박정진,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,7,ExactYearTeamName
200,2011,한화,마일영,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,5,5,4,ExactYearTeamName
201,2008,한화,토마스,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,7,8,6,ExactYearTeamName
202,1990,한화,송진우,일반/기사 문맥,2013-11-15,https://www.inven.co.kr/webzine/news/?news=107123,8,,,Unresolved_NoForcedAlias
